Date,Open,High,Low,Close,Adj Close,Volume
10/30/2007,6.649286,6.763214,6.5975,6.678571,5.668749,939414000
10/31/2007,6.701071,6.79,6.605357,6.783929,5.758174,833310800
11/1/2007,6.735714,6.789286,6.428571,6.694286,5.682087,805036400
11/2/2007,6.7575,6.765714,6.553214,6.709643,5.695121,1002114400
11/5/2007,6.6175,6.748571,6.58,6.649286,5.643891,804176800
11/6/2007,6.680357,6.857143,6.616786,6.849643,5.813952,954727200
11/7/2007,6.8075,6.881429,6.6475,6.653571,5.647527,994327600
11/8/2007,6.666786,6.675,5.991786,6.266786,5.319226,1890378000
11/9/2007,6.1125,6.254286,5.900357,5.906071,5.013053,1526380800
11/12/2007,5.902857,5.989286,5.379643,5.491429,4.661105,1769065200
11/13/2007,5.744643,6.106429,5.491429,6.07,5.152194,1739446800
11/14/2007,6.327143,6.341786,5.847857,5.9325,5.035485,1449168000
11/15/2007,5.9425,6.056786,5.725,5.867857,4.980616,1487410400
11/16/2007,5.903571,5.965,5.690357,5.9425,5.043976,1383494000
11/19/2007,5.932143,6.007143,5.789286,5.855357,4.970007,1154428800
11/20/2007,5.916786,6.135357,5.840357,6.030357,5.118546,1543642800
11/21/2007,5.922857,6.155357,5.881071,6.016429,5.106725,1217809600
11/23/2007,6.142857,6.144643,6.0625,6.126429,5.200093,465757600
11/26/2007,6.199643,6.331071,6.155357,6.162143,5.230406,1305754800
11/27/2007,6.257857,6.278214,6.071786,6.243214,5.299217,1317030400
11/28/2007,6.315,6.45,6.2625,6.436429,5.463219,1150912000
11/29/2007,6.408214,6.613214,6.398214,6.581786,5.586597,1050926800
11/30/2007,6.690714,6.703571,6.417857,6.507857,5.523845,1187802000
12/3/2007,6.495,6.576429,6.346429,6.387857,5.42199,961469600
12/4/2007,6.326786,6.460714,6.321071,6.421786,5.450789,773799600
12/5/2007,6.531786,6.642857,6.514643,6.625,5.623277,892402000
12/6/2007,6.649643,6.789286,6.647143,6.783929,5.758174,899810800
12/7/2007,6.805,6.963929,6.715714,6.939286,5.890042,1066066400
12/10/2007,6.913929,6.987857,6.881786,6.936071,5.887312,722377600
12/11/2007,6.955357,7.029643,6.6925,6.733571,5.715434,1110925200
12/12/2007,6.908571,6.945714,6.634286,6.816429,5.78576,1225660800
12/13/2007,6.7925,6.861429,6.707857,6.851071,5.815166,864617600
12/14/2007,6.798929,6.9,6.769286,6.799643,5.771514,674312800
12/17/2007,6.811429,6.880357,6.535,6.585714,5.589931,1024693600
12/18/2007,6.661429,6.690357,6.378571,6.535,5.546886,1222603200
12/19/2007,6.535,6.594286,6.460714,6.54,5.55113,827478400
12/20/2007,6.6225,6.708214,6.5475,6.686071,5.675114,774057200
12/21/2007,6.79,6.925357,6.781786,6.925357,5.87822,993960800
12/24/2007,6.965357,7.118929,6.956786,7.1,6.026456,480202800
12/26/2007,7.1075,7.177143,7.029286,7.105357,6.031002,703732400
12/27/2007,7.105357,7.248571,7.064286,7.091786,6.019485,795527600
12/28/2007,7.163929,7.198571,7.031429,7.136786,6.057682,699647200
12/31/2007,7.125,7.160714,7.0625,7.074286,6.004629,539333200
1/2/2008,7.116786,7.152143,6.876786,6.958571,5.906411,1079178800
1/3/2008,6.978929,7.049643,6.881786,6.961786,5.90914,842066400
1/4/2008,6.8375,6.892857,6.388929,6.430357,5.458064,1455832000
1/7/2008,6.473214,6.557143,6.079643,6.344286,5.385009,2072193200
1/8/2008,6.433571,6.516429,6.1,6.116071,5.191299,1523816000
1/9/2008,6.117857,6.410714,6.010714,6.407143,5.438361,1813882000
1/10/2008,6.342143,6.464286,6.264643,6.357857,5.396526,1482975200
1/11/2008,6.285714,6.351786,6.071429,6.1675,5.234952,1232285600
1/14/2008,6.34,6.407857,6.256071,6.385,5.419567,1100450400
1/15/2008,6.347143,6.400714,5.880714,6.037143,5.124305,2343278000
1/16/2008,5.901071,6.036071,5.596429,5.701429,4.839353,2213845200
1/17/2008,5.768214,5.905714,5.657857,5.746071,4.877244,1757859600
